                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9139,                 2.3847,                 1.3473,                 0.5911,                0.53763,                 0.5594,                0.41397,                 0.8508,                 1.5608,                 1.2596,               0.070131,              0.0033188,              0.0033188
                      1,                0.73932,                 1.3097,                 1.1747,                0.66553,                0.65379,                0.67555,                0.49852,                0.78701,                 1.1139,                 1.1942,               0.039868,              0.0063887,              0.0063887
                      2,                0.74697,                   1.14,                 1.1612,                  0.617,                0.68723,                  0.663,                0.47608,                0.91161,                 1.1568,                 1.2568,              0.0093402,              0.0091946,              0.0091946
                      3,                 0.8173,                 1.1793,                 1.1902,                0.65243,                0.62672,                0.64781,                0.46163,                0.95982,                 1.2367,                 1.2697,               0.008812,               0.008812,               0.008812
                      4,                  0.824,                 1.1443,                 1.1995,                0.54918,                0.67796,                0.61287,                0.43478,                0.98736,                 1.4019,                 1.2833,               0.008812,               0.008812,               0.008812
                      5,                0.82056,                 1.0942,                 1.1962,                0.73278,                0.66879,                0.73632,                0.52842,                0.92891,                  1.042,                 1.2464,               0.008416,               0.008416,               0.008416
                      6,                0.81362,                 1.0615,                 1.1816,                0.76343,                0.68004,                0.77608,                0.57368,                0.84654,                0.91408,                 1.1754,                0.00802,                0.00802,                0.00802
                      7,                0.78944,                 1.0032,                  1.172,                0.74449,                0.72966,                0.79536,                0.57516,                0.84969,                0.94768,                 1.1894,               0.007624,               0.007624,               0.007624
                      8,                0.75975,                 0.9724,                 1.1545,                0.77029,                0.73628,                0.79994,                 0.5975,                0.82705,                0.94411,                 1.1623,               0.007228,               0.007228,               0.007228
                      9,                0.73102,                0.91111,                 1.1334,                0.76199,                0.76362,                0.81571,                0.60243,                 0.8343,                0.86788,                  1.188,               0.006832,               0.006832,               0.006832
                     10,                0.71403,                0.85477,                 1.1312,                0.78139,                0.71568,                 0.8118,                0.60864,                0.79778,                0.86206,                 1.1366,               0.006436,               0.006436,               0.006436
                     11,                0.70842,                0.86762,                 1.1184,                0.78447,                  0.756,                0.80876,                0.63874,                0.74649,                 0.8111,                 1.0909,                0.00604,                0.00604,                0.00604
                     12,                0.66974,                0.80092,                 1.0954,                0.80019,                0.77949,                0.84948,                0.64825,                0.74584,                0.74842,                 1.1036,               0.005644,               0.005644,               0.005644
                     13,                0.66131,                0.77534,                 1.0925,                0.82694,                0.78885,                0.85364,                0.66241,                 0.7422,                0.72842,                 1.0883,               0.005248,               0.005248,               0.005248
                     14,                0.64581,                0.76101,                 1.0773,                0.88614,                0.79607,                0.89499,                0.71039,                0.69997,                0.65096,                 1.0566,               0.004852,               0.004852,               0.004852
